movieId,vote_average,vote_count
1,3.872,247
2,3.402,107
3,3.161,59
4,2.385,13
5,3.268,56
6,3.885,104
7,3.283,53
8,3.8,5
9,3.15,20
10,3.451,122
11,3.689,82
12,2.861,18
13,3.938,8
14,3.452,31
15,2.318,11
16,3.949,88
17,3.924,86
18,3.288,26
19,2.598,92
20,2.538,13
21,3.537,95
22,3.355,38
23,3.091,22
24,3.044,34
25,3.743,101
26,4.1,5
27,3.143,7
28,4.083,18
29,4.025,40
30,4.05,10
31,3.179,42
32,3.923,196
34,3.601,148
35,3.545,11
36,3.938,104
37,2.0,2
38,2.0,2
39,3.55,120
40,3.917,6
41,4.022,23
42,2.333,9
43,3.625,12
44,2.697,38
45,3.523,43
46,3.167,12
47,4.035,201
48,2.926,61
49,4.0,2
50,4.371,201
52,3.637,51
53,5.0,1
54,3.667,3
55,3.333,6
57,3.143,14
58,4.0,45
59,4.0,2
60,2.828,32
61,3.571,7
62,3.69,87
63,2.833,6
64,2.4,10
65,2.025,20
66,2.0,5
68,3.5,8
69,3.818,22
70,3.021,48
71,2.429,7
72,3.167,6
73,4.115,13
74,3.026,19
76,3.333,15
77,4.0,2
78,3.2,10
79,2.962,26
80,4.625,4
81,3.25,18
82,3.8,10
83,3.0,3
84,4.0,1
85,4.062,16
86,3.765,17
87,1.667,3
88,2.891,23
89,3.441,17
92,3.542,12
93,2.227,11
94,3.568,22
95,3.177,93
96,1.0,1
97,3.875,8
98,3.0,1
99,2.75,4
100,3.429,21
101,3.882,17
102,2.591,11
103,4.0,4
104,3.293,94
105,3.115,48
107,3.463,27
108,4.0,1
110,3.945,228
111,4.225,118
112,3.296,49
113,3.2,5
114,3.0,1
116,4.75,6
117,3.0,6
118,2.8,5
119,3.0,1
121,3.8,5
122,3.053,19
123,4.0,7
124,3.0,1
125,3.714,21
126,2.7,10
129,3.0,1
130,4.5,1
131,2.0,1
132,2.875,8
135,3.0,27
137,1.0,1
140,3.478,23
141,3.581,93
144,3.327,26
145,3.279,43
146,4.333,3
147,3.643,21
148,4.0,1
149,4.333,6
150,3.902,200
151,3.562,48
152,3.833,3
153,2.783,129
154,3.812,16
155,3.056,9
156,3.955,11
157,2.375,8
158,2.871,58
159,3.938,8
160,2.341,63
161,3.831,80
162,4.136,33
163,3.516,63
164,3.558,26
165,3.444,142
166,3.0,4
167,4.0,1
168,3.116,43
169,2.562,8
170,3.288,26
171,4.333,6
172,2.573,48
173,2.564,70
174,2.25,4
175,3.957,23
176,3.778,18
177,2.885,13
178,4.7,5
179,3.5,6
180,3.307,44
181,1.8,15
183,5.0,1
184,4.5,2
185,3.103,102
186,2.875,48
187,2.833,3
188,3.125,16
189,4.0,1
190,3.833,6
191,3.0,5
193,2.314,35
194,4.292,24
195,3.214,14
196,2.809,55
198,3.442,43
199,3.333,3
200,4.0,1
201,4.0,1
202,3.0,4
203,3.304,23
204,3.0,31
205,4.0,4
206,3.6,10
207,3.375,28
208,2.752,113
209,2.6,5
