name,id
Peter Bonerz,0
Claire Denis,1
Keith Fulton,2
Annabel Jankel,3
Henry Alex Rubin,4
Chris Butler,5
Sebastián Cordero,6
Louis Morneau,7
Virginie Despentes,8
Adrienne Shelly,9
Keanu Reeves,10
John Byrum,11
Jeff Wadlow,12
Joe Pytka,13
Yasujirō Ozu,14
David S. Goyer,15
James Whale,16
John Stainton,17
Koji Hashimoto,18
Chris Bell,19
Simon Hunter,20
Cem Yılmaz,21
Adam Brooks,22
Lawrence Guterman,23
Andrew Gallerani,24
Bill Forsyth,25
Ilmar Raag,26
Donald Petrie,27
Victor Sjöström,28
Daniel J. Sullivan,29
William Phelps,30
Ronald Neame,31
Miloš Forman,32
Tony Goldwyn,33
Luc Besson,34
Glen Goei,35
Chris Kentis,36
Adam Del Deo,37
Peter Avanzino,38
Cary Fukunaga,39
Nora Ephron,40
Dan St. Pierre,41
Simon Curtis,42
Audrey Wells,43
Martin Rosen,44
Léa Pool,45
Jack Pollexfen,46
Benoît Poelvoorde,47
Matty Rich,48
George Englund,49
Brett Ratner,50
Carlos Saura,51
Shan Nicholson,52
Hoyt Yeatman,53
Mark Tarlov,54
David Mirkin,55
Burak Aksak,56
Tim Hetherington,57
Max Mayer,58
Herschell Gordon Lewis,59
Ric Roman Waugh,60
Muffie Meyer,61
Cameron Crowe,62
Gene Kelly,63
Mac Carter,64
Graeme Clifford,65
Dominik Moll,66
Matt Reeves,67
Fred Wolf,68
Jeffrey Blitz,69
Park Chan-wook,70
Krzysztof Kieślowski,71
Brian Henson,72
Bryan Gordon,73
Bill L. Norton,74
Bruce Joel Rubin,75
Declan Lowney,76
Peter Chelsom,77
John Hughes,78
David Van Taylor,79
Frank Perry,80
Sebastian Schipper,81
John Michael McDonagh,82
Bob Odenkirk,83
Jake Schreier,84
Ron Nyswaner,85
Brian Trenchard-Smith,86
Steve McQueen,87
Teddy Newton,88
Joan Sekler,89
Jake Szymanski,90
Scott McGehee,91
Robert Kaylor,92
Nobuhiro Yamashita,93
John Poliquin,94
David Lynch,95
Pierre Coffin,96
Stephen Gaghan,97
Robert Kurtzman,98
Franny Armstrong,99
Alan Mehrez,100
Jean Cocteau,101
W.D. Richter,102
Zalman King,103
George Butler,104
Robert Kenner,105
Brad Copeland,106
Jim Field Smith,107
Greg Berlanti,108
Crystal Moselle,109
Michael Schultz,110
Joel Anderson,111
Christian Carion,112
Don Roos,113
Mike Cahill,114
Shinsuke Sato,115
Dean Semler,116
Akiva Goldsman,117
William Roberts,118
Cody Cameron,119
Richard Thorpe,120
Juan José Campanella,121
Claude Zidi,122
Peter Sollett,123
George Gallo,124
Daniel Pyne,125
Peter Wintonick,126
Phil Dorling,127
Richard Benjamin,128
Frank Tashlin,129
Giuliano Montaldo,130
Brian Percival,131
Mark Illsley,132
Jamie Travis,133
Victor Saville,134
Marie Pérennou,135
Bob Logan,136
Marleen Gorris,137
Paul Morrissey,138
Alejandro Jodorowsky,139
Julien Maury,140
Dave Thomas,141
David Cronenberg,142
Rufus Norris,143
Harry L. Fraser,144
Fred Zinnemann,145
Mark Palansky,146
James Bobin,147
Dwight H. Little,148
Mark Levin,149
Jean-Marie Poiré,150
James Mather,151
Luis Llosa,152
Robert Barry Ptolemy,153
Jacques Perrin,154
Dana Adam Shapiro,155
Hal Ashby,156
Niki Caro,157
Shannon Hartman,158
Roy Rowland,159
Bille Woodruff,160
Laurie Gwen Shapiro,161
Luke Greenfield,162
Robert Meyer Burnett,163
Rocco Urbisci,164
Vondie Curtis-Hall,165
John Murlowski,166
Cyril Frankel,167
Peter Duffell,168
Chris Nahon,169
Tyler Perry,170
Garry Marshall,171
Justine Shapiro,172
Lee Kirk,173
Ramón Menéndez,174
Stuart Samuels,175
Greg 'Freddy' Camalier,176
David Shapiro,177
Daniel Grou,178
Chatrichalerm Yukol,179
Marcus Nispel,180
Andrew R. Jones,181
James Bridges,182
William Nicholson,183
Carl Deal,184
Makoto Shinkai,185
William A. Seiter,186
Tatsuya Ishihara,187
Kevin Reynolds,188
Aviva Kempner,189
Wolfgang Petersen,190
Iain Softley,191
Chi Muoi Lo,192
Paul Michael Glaser,193
Bob Giraldi,194
Richard Ray Perez,195
Chris Hegedus,196
Gabriele Muccino,197
Peter Lord,198
Louise Osmond,199
Ethan Hawke,200
Patrik Forsberg,201
Marc Rothemund,202
Keenen Ivory Wayans,203
Tibor Takács,204
Steve Hickner,205
Bruno Podalydès,206
Wong Kar-wai,207
Victor Salva,208
Maurice Joyce,209
Roger Allers,210
Petter Næss,211
Rod Hardy,212
Mark Joffe,213
Gérard Krawczyk,214
Andrew Leman,215
Yoshihiro Nishimura,216
Harry Lachman,217
Rex Ingram,218
Jack Couffer,219
Vicky Jenson,220
Rusty Cundieff,221
Rolf de Heer,222
David Pastor,223
Scott Hillenbrand,224
Yasunori Ide,225
David Carson,226
Brian Yuzna,227
Martin Ritt,228
John Cameron Mitchell,229
Robin Hardy,230
Damiano Damiani,231
Joshua Meador,232
Wes Ball,233
Victor Nunez,234
Joel Gallen,235
Shane Carruth,236
Sylvain White,237
Bo Welch,238
Richard Schenkman,239
Gary Oldman,240
Crispian Mills,241
Pupi Avati,242
Paul McCartney,243
Matthew Robinson,244
João Jardim,245
Thor Freudenthal,246
Charley Rogers,247
Fenton Bailey,248
Robert Gordon,249
Richard Kwietniowski,250
Chris Fiore,251
Sheldon Lettich,252
Robert Mulligan,253
John Crowley,254
Félix Sabroso,255
David O. Russell,256
Lee Unkrich,257
James Toback,258
Goro Miyazaki,259
Luc Dardenne,260
Jeffrey Donovan,261
José Padilha,262
Sarah Price,263
Linda Mendoza,264
Oz Perkins,265
Neil Jordan,266
Terrence Malick,267
Norman Ferguson,268
Sean Durkin,269
Adam Bernstein,270
Michael Benveniste,271
Chris Renaud,272
Paul Cox,273
Ida Lupino,274
David Atkins,275
Paolo Taviani,276
Joel Bender,277
Paolo Genovese,278
Giancarlo Lui,279
John Patrick Shanley,280
Kurt Engfehr,281
Allan A. Goldstein,282
Shona Auerbach,283
Matt Maiellaro,284
Brad Lewis,285
Rupert Wainwright,286
Robert Enrico,287
Rob Spera,288
Joe Lynch,289
Andrew Morahan,290
Mark L. Lester,291
Tom Brady,292
Fouad Mikati,293
F.W. Murnau,294
John Nicolella,295
Phil Lord,296
Buck Henry,297
Richard J. Lewis,298
Charles Crichton,299
Arnold Laven,300
T.J. Martin,301
John Luessenhop,302
Joachim Trier,303
Albert Hughes,304
Ivan Kavanagh,305
Derek Cianfrance,306
William Monahan,307
Stuart Heisler,308
Fritz Lang,309
Xavier Gens,310
Nic Balthazar,311
Ti West,312
Ashutosh Gowariker,313
Chris Miller,314
Gary Burns,315
Mark Mylod,316
Vadim Perelman,317
Joe Swanberg,318
Elliott Nugent,319
Kevin Lima,320
Martha Fiennes,321
Wolfgang Reitherman,322
Damien Chazelle,323
Christian Molina,324
Roy Ward Baker,325
Glenn Leyburn,326
Claude Jutra,327
Jeff Franklin,328
Cyril Collard,329
Onur Ünlü,330
Babak Najafi,331
Hadi Hajaig,332
Craig Zisk,333
Joseph Kosinski,334
Boaz Yakin,335
Michael O'Herlihy,336
Gabriele Salvatores,337
Michael Bay,338
Richard Fleischer,339
Mike Barker,340
Jeffrey Nachmanoff,341
Clark Gregg,342
Ridley Scott,343
Scott Hicks,344
David Winning,345
Peter Howitt,346
Al Reinert,347
Emma Cooper,348
Marshall Herskovitz,349
Sylvia Soska,350
Brian Dannelly,351
Jorge Fons,352
Kayo Hatta,353
Keith Scholey,354
Hiroyuki Kitakubo,355
Angela Robinson,356
Guillaume Ivernel,357
J.M. Kenny,358
Max Ophüls,359
Masahiro Andô,360
Leonid Gayday,361
Kazuya Murata,362
Dan Eckman,363
Christopher Kenneally,364
Ruben Fleischer,365
Andrew Waller,366
Sandra Goldbacher,367
Jeremy Podeswa,368
Francis Lawrence,369
Michael Brandt,370
Tom DeSimone,371
Robin Swicord,372
Gene Wilder,373
Kay Pollak,374
Laurie Collyer,375
Benedek Fliegauf,376
Michael Matheson,377
Robert Lepage,378
Vikram Jayanti,379
Stephan Lacant,380
Frank Henenlotter,381
Maclain Way,382
Dave Green,383
Rob Marshall,384
Jean-Xavier de Lestrade,385
Neil Berkeley,386
Daniel Petrie Jr.,387
Kevin Williamson,388
Ted Kotcheff,389
Olivier Ducastel,390
Ryan Little,391
Nicolas Gessner,392
Mel Stuart,393
Henri-Georges Clouzot,394
David Mackenzie,395
David Kellogg,396
Colbert Clark,397
Daniel Myrick,398
Yim Ho,399
David Anspaugh,400
Jay Bulger,401
Joachim Rønning,402
Joseph Barbera,403
Billy Crystal,404
Stan Dragoti,405
Tomás Gutiérrez Alea,406
Philip Haas,407
Jonathan Kaplan,408
Tuck Tucker,409
Ken Russell,410
Henry Hathaway,411
Jeff Nichols,412
Ken Kwapis,413
Marv Newland,414
Frank Pavich,415
James Hill,416
Oliver Stone,417
Sara Sugarman,418
Ben Younger,419
Florian Henckel von Donnersmarck,420
Kurt Wimmer,421
Garson Kanin,422
Sturla Gunnarsson,423
Whoopi Goldberg,424
Sam Peckinpah,425
Randall Miller,426
Ray Kellogg,427
Susanne Bier,428
Jay Roach,429
Sebastián Borensztein,430
Delbert Mann,431
Jerry Rees,432
Éva Gárdos,433
Anne Fontaine,434
Lewis Gilbert,435
Ira Sachs,436
Randall Balsmeyer,437
Don Scardino,438
Richard Kelly,439
Charles Herman-Wurmfeld,440
Christoph Lauenstein,441
Dylan Kidd,442
Manoel de Oliveira,443
Nicolas Roeg,444
Michel Debats,445
Rocky Morton,446
David Mamet,447
John Cornell,448
Motonori Sakakibara,449
Robert Klane,450
Agnès Varda,451
Abby Epstein,452
Tom McGrath,453
John Irvin,454
David Guy Levy,455
Stiles White,456
Tommy Wiseau,457
Henry Joost,458
Gus Meins,459
Shainee Gabel,460
Christian Volckman,461
Gerard Johnson,462
Nathan Greno,463
Danny Goldberg,464
Angus MacLane,465
Ezra Edelman,466
Marilyn Agrelo,467
Rian Johnson,468
Stephen Judson,469
Nick Park,470
Tim Robbins,471
Ethan Coen,472
Dave Willis,473
Steve Buscemi,474
Mark Herman,475
Raoul O'Connell,476
Albert Magnoli,477
Javier Abad,478
Hal Hartley,479
Mehdi Ben Attia,480
Jim O'Connolly,481
Jack Smith,482
Stephen Anderson,483
Q. Allan Brocka,484
Shane Acker,485
Tomm Moore,486
Don Edmonds,487
Eric Till,488
Robert Stevenhagen,489
Greg MacGillivray,490
Edmund Goulding,491
Patrick Hughes,492
Lou Adler,493
John Glen,494
Julie Davis,495
Gregg Champion,496
Sandra Nettelbeck,497
Jordan Rubin,498
Lukas Moodysson,499
Richard Bell,500
Majid Majidi,501
Mikael Salomon,502
Mark Sandrich,503
Charles Ferguson,504
Steve Pink,505
Adam Wingard,506
Josef Fares,507
Damián Szifrón,508
Ron Oliver,509
Oliver Schmitz,510
William A. Wellman,511
Joan Micklin Silver,512
Andrew Jarecki,513
Sean McNamara,514
Bonnie Hunt,515
Vanessa Middleton,516
Dan Beers,517
Norman Foster,518
Reginald Le Borg,519
Paul Justman,520
Ned Benson,521
Gregory Jacobs,522
Michael Curtiz,523
Richard Berge,524
Bryan Bertino,525
George Seaton,526
Milton Katselas,527
Shinichiro Watanabe,528
Peter Glanz,529
Jeffrey Bloom,530
Richard Marquand,531
Allan Moyle,532
Lionel C. Martin,533
Bill Melendez,534
Michel Ocelot,535
Edith Becker,536
Joshua Logan,537
Bruce Paltrow,538
Carl Gottlieb,539
Maggie Greenwald,540
George Stevens,541
Mark Moskowitz,542
Thomas Jahn,543
Luis Mandoki,544
Lisa Barros D'Sa,545
Jorma Taccone,546
Lloyd Kaufman,547
Marty Callner,548
Norman Z. McLeod,549
Josh Gordon,550
Samantha Futerman,551
Hans Weingartner,552
Hayao Miyazaki,553
Mark Piznarski,554
Tony Gilroy,555
Hal Needham,556
Mark Aldo Miceli,557
Shinobu Yaguchi,558
Albert Lamorisse,559
Asghar Farhadi,560
William Lustig,561
Ben Nott,562
Mark Hartley,563
Dennis Gansel,564
Robert C. Cooper,565
James M. Muro,566
Niels Arden Oplev,567
Nelson Shin,568
Jack Conway,569
Guillermo del Toro,570
Bruce Kimmel,571
Barry W. Blaustein,572
Mikhail Kalatozov,573
György Pálfi,574
Othmar Schmiderer,575
Pierre Salvadori,576
Norman Jewison,577
Sam Jones,578
Álex de la Iglesia,579
Rich Moore,580
Jan Ole Gerster,581
Ken Scott,582
Gary Halvorson,583
George Harrison,584
Donna Deitch,585
Kihachi Okamoto,586
Ben Sharpsteen,587
George Sidney,588
Deborah Hoffmann,589
David Dobkin,590
Stefan Ruzowitzky,591
Danis Tanović,592
Fredrik Bond,593
Clive Donner,594
Jack Clayton,595
Ivan Galin,596
Michael Armstrong,597
Peter Webber,598
Toby Shelton,599
Barry Sonnenfeld,600
Stephan Elliott,601
Richard Rush,602
Keith Gordon,603
Gavin O'Connor,604
Georges Méliès,605
Phil Karlson,606
R. Ellis Frazier,607
James McTeigue,608
Sarik Andreasyan,609
John Huston,610
T. Hee,611
David Sandberg,612
Alfonso Cuarón,613
Kurt Neumann,614
Steve Antin,615
James Cameron,616
James DeMonaco,617
Fernando Barreda Luna,618
Tom Schulman,619
David L. Cunningham,620
Michael Clancy,621
John Gielgud,622
Eric Radomski,623
Kristin Hanggi,624
Stephen Frears,625
Jean-Jacques Annaud,626
Sidney Gilliat,627
Kim Longinotto,628
Tran Anh Hung,629
Iain Morris,630
Marc Webb,631
Nathaniel Kahn,632
Aristomenis Tsirbas,633
Johannes Stjärne Nilsson,634
Jennifer Jason Leigh,635
Stephen Sommers,636
Izidore K. Musallam,637
Kim Henkel,638
Alexander Korda,639
Kevin Munroe,640
Chris Williams,641
Peter O'Fallon,642
Nina Menkes,643
Edvin Laine,644
Alan Cohn,645
Buddy Van Horn,646
Sally Potter,647
Colin Strause,648
Phyllida Lloyd,649
Irving Cummings,650
Fred M. Wilcox,651
Jaume Balagueró,652
Martin Gero,653
Pinchas Perry,654
Randa Haines,655
Richard Linklater,656
Gaëtan Brizzi,657
James Swirsky,658
Albert Band,659
Douglas Day Stewart,660
Ariel Kleiman,661
Anjelica Huston,662
John Schlesinger,663
John N. Smith,664
Andy Mingo,665
Peter Werner,666
Austin Stark,667
Dziga Vertov,668
Jorge Montesi,669
Daming Chen,670
Patrick Tatopoulos,671
George Clooney,672
Antonio Banderas,673
Andrew Birkin,674
Emilio Estevez,675
Todd Rohal,676
Xan Cassavetes,677
Marcus Raboy,678
Jemaine Clement,679
Gough Lewis,680
Jon Moritsugu,681
Jeff Blyth,682
Ivan Reitman,683
Michael Lehmann,684
David Schmoeller,685
Paco Plaza,686
Jen McGowan,687
Galt Niederhoffer,688
Laurent Cantet,689
Kimberly Peirce,690
Seth Barrish,691
Michael O. Gallant,692
Bart Freundlich,693
David Fincher,694
Athur H. Nadel,695
Rachel Grady,696
Michael Spierig,697
Derrick Borte,698
Robert Cannan,699
Eugene Corr,700
Fraser Clarke Heston,701
John Harrison,702
Marco Bellocchio,703
Mark Achbar,704
Matt Bettinelli-Olpin,705
Dunia Ayaso,706
Hugh Johnson,707
Christopher Crowe,708
Autumn de Wilde,709
Eric Goldberg,710
Yoshifumi Kondou,711
Justin Theroux,712
Gene Nelson,713
Dan Aykroyd,714
Robert Ellis Miller,715
Liz Friedlander,716
François Keraudren,717
Kris Isacsson,718
Eugene Levy,719
David Breashears,720
Jim Brown,721
Dan Berk,722
Jimmy Hayward,723
J.T. Tepnapa,724
Don McKellar,725
Richard Lester,726
John Fortenberry,727
Richard Murphy,728
Kazuaki Kiriya,729
John Requa,730
Jonathan M. Goldstein,731
Yves Robert,732
Timothy Wheeler,733
David Frankel,734
Des McAnuff,735
Kirk De Micco,736
Wilson Yip,737
Fernando E. Solanas,738
David Hugh Jones,739
Irvin S. Yeaworth Jr.,740
Sujoy Ghosh,741
Lawrence Silk,742
John Boorman,743
Ben Wheatley,744
Gary Hustwit,745
Gernot Roll,746
Nicholaus Goossen,747
Gary Goddard,748
Jean Eustache,749
Mervyn LeRoy,750
Bill Colleran,751
Steve Carr,752
Joe Russo,753
Olivier Nakache,754
Steve Boyum,755
Justin Lin,756
Zack Snyder,757
Bruce McCulloch,758
James Watkins,759
James B. Clark,760
Nadine Labaki,761
Murray Lerner,762
Gregory Hoblit,763
Jeremiah S. Chechik,764
W.S. Van Dyke,765
Sebastián Silva,766
Randall Wallace,767
Andrew Dominik,768
H.B. Halicki,769
Walter Lang,770
Bud Greenspan,771
E. Elias Merhige,772
Bruce McDonald,773
Amos Gitai,774
Jeffrey Katzenberg,775
Harry O. Hoyt,776
Paul Newman,777
Louis Leterrier,778
Juan Carlos Tabío,779
H. C. Potter,780
Billy Kent,781
André Øvredal,782
Sam Wood,783
Mario Van Peebles,784
Jon Hurwitz,785
Isaac Feder,786
Oscar Sharp,787
Alex Rivera,788
Simon Wells,789
Yasuo Furuhata,790
Daniel Attias,791
Nimród Antal,792
Jordan Melamed,793
Nicholas Meyer,794
Scot McFadyen,795
Don Hertzfeldt,796
Leon Gast,797
Alfred Sole,798
Gianni Amelio,799
Damon Beesley,800
Hany Abu-Assad,801
Gary Ross,802
Jean-Claude Van Damme,803
Henry Bean,804
Kim Ki-duk,805
Stephen Hillenburg,806
Nima Nourizadeh,807
Roger Spottiswoode,808
Robert Leacock,809
Andrew Bergman,810
Jean-Marc Vallée,811
Carl Franklin,812
Stephen Hopkins,813
Yongyoot Thongkongtoon,814
Jean-François Richet,815
Andy Tennant,816
Josh Stolberg,817
Christopher Nolan,818
Tom Vaughan,819
Sean McGinly,820
Ola Simonsson,821
Tsai Ming-liang,822
Edward Burns,823
Pierce Rafferty,824
Jesús Franco,825
John S. Robertson,826
Claude Chabrol,827
Michael Winner,828
Fabián Bielinsky,829
David Bowers,830
Charlie Kaufman,831
Alek Keshishian,832
Zhang Yimou,833
Mick Jackson,834
Radu Mihaileanu,835
Jérôme Maison,836
Peter Cattaneo,837
Joe Ranft,838
Glenn McQuaid,839
Paul Thomas,840
Bob Fosse,841
Paul Hogan,842
Myles Connell,843
James Isaac,844
Steve Kloves,845
Mike Judge,846
Dario Argento,847
Pablo Stoll,848
Charles Matthau,849
Ken Loach,850
Brett Leonard,851
Otto Preminger,852
Peter Chan,853
Francis Veber,854
Jim Gillespie,855
Kevin James Dobson,856
Katt Shea,857
Edward Neumeier,858
Vincent Ward,859
Richard Glatzer,860
Lionel Jeffries,861
Jerry Zaks,862
Kenji Misumi,863
Colin Brady,864
Romain Goupil,865
Steve Purcell,866
John Whitesell,867
Edison Cájas,868
Jeff Pollack,869
Emir Kusturica,870
Stephen Chow,871
Andy Bichlbaum,872
Brad Furman,873
Nick Tomnay,874
Martin Lawrence,875
Cathy Malkasian,876
Miles Swain,877
Don Bluth,878
Michael Cristofer,879
Vincent Gallo,880
James W. Horne,881
Frank Borzage,882
Jean-Jacques Beineix,883
Michelangelo Antonioni,884
Jordan Vogt-Roberts,885
Gregory Widen,886
Neal Israel,887
Michael Steinberg,888
Randall Churchill,889
Dave Grohl,890
Lo Wei,891
Dean Israelite,892
Menahem Golan,893
Peter Templeman,894
Freida Lee Mock,895
Iwao Takamoto,896
Alison Ellwood,897
Shira Piven,898
Gordon Parks,899
Charlie Siskel,900
Denzel Washington,901
Anthony Harvey,902
Sam Weisman,903
Lance Young,904
Shōhei Imamura,905
Joshua Michael Stern,906
Kevin Smith,907
Don Paul,908
Les Mayfield,909
Mohsen Makhmalbaf,910
Chuck Jones,911
John G. Blystone,912
Allan Arkush,913
Josh C. Waller,914
Jane Campion,915
DJ Pooh,916
Peter Davis,917
Andrew Loo,918
Panna Rittikrai,919
Mitchell Lichtenstein,920
Emmanuel Mouret,921
Sofia Coppola,922
Hirokazu Koreeda,923
Edward Zwick,924
Martin Curland,925
Jeremy Garelick,926
Sudz Sutherland,927
Carl Theodor Dreyer,928
Art Stevens,929
Adam Shankman,930
Bob Rafelson,931
Steve Box,932
Christopher Miller,933
David Jacobson,934
Philip Saville,935
Nir Bergman,936
Heitor Dhalia,937
David Michôd,938
Nina Paley,939
Milton Menasco,940
Seijun Suzuki,941
Tate Taylor,942
Peter Markle,943
Sally Mattison,944
Christopher Cain,945
William Porter,946
Brian Gibson,947
Jeff McGrath,948
Larry Clark,949
Robert B. Weide,950
Nacho Vigalondo,951
Gillian Robespierre,952
Victor Schertzinger,953
Michael Mann,954
Arlene Sanford,955
Fruit Chan,956
John R. Leonetti,957
Peter Berg,958
Howard Storm,959
Spencer Susser,960
Terry Marcel,961
Dave Borthwick,962
Alex Gibney,963
George Bowers,964
Bruce Sinofsky,965
Wendy Apple,966
George Huang,967
Daniel DelPurgatorio,968
Yahoo Serious,969
Hector Babenco,970
Andrew Currie,971
Benoît Jacquot,972
Andrew Lau,973
Jennifer Yuh Nelson,974
Tetsuro Takeuchi,975
Mark Young,976
Kyle Patrick Alvarez,977
Andrzej Sekula,978
Etan Cohen,979
Henry Hobson,980
Justin Trefgarne,981
Louis C.K.,982
Alex Smith,983
Barnet Kellman,984
William T. Hurtz,985
Willard Huyck,986
Lewis Teague,987
Jack Arnold,988
Herb Gardner,989
Mike Bonanno,990
Jacques Tourneur,991
Roberto Benigni,992
Perry Andelin Blake,993
Angela Christlieb,994
Skip Woods,995
Leslie Greif,996
Jan Švankmajer,997
Malcolm Leo,998
Éric Rohmer,999
Jon Avnet,1000
Norman René,1001
Bill Pohlad,1002
John Hamburg,1003
Laura Poitras,1004
Christian Charles,1005
Ron Shelton,1006
Patrick Lussier,1007
Paul Gross,1008
Constance Marks,1009
Todd Holland,1010
Ted Wilde,1011
Jason Lei Howden,1012
Peter Askin,1013
Richard Quine,1014
Alejandro González Iñárritu,1015
Michael Haneke,1016
Pete Michels,1017
Alik Sakharov,1018
Daniel Petrie,1019
Elaine May,1020
Hendel Butoy,1021
Bill Kroyer,1022
Valerie Faris,1023
Géla Babluani,1024
Robert Brinkmann,1025
Joseph L. Mankiewicz,1026
George Kaczender,1027
Michael Sucsy,1028
Gary Trousdale,1029
Mario Peixoto,1030
Bernard Rose,1031
François Ozon,1032
Ömer Vargı,1033
Robin Budd,1034
Jason Bloom,1035
Sarah Smith,1036
Lasse Spang Olsen,1037
Alex Proyas,1038
Michael Haigney,1039
Patrick Alessandrin,1040
Vittorio De Sica,1041
David Nutter,1042
Ken Shapiro,1043
Martin Brest,1044
Nick Broomfield,1045
Edward F. Cline,1046
Jonas Åkerlund,1047
John McNaughton,1048
Ian Iqbal Rashid,1049
Kevin Willmott,1050
Dan Kuenster,1051
Guy Hamilton,1052
Jonathan Frakes,1053
Neill Blomkamp,1054
John R. Cherry III,1055
AJ Schnack,1056
Jonathan Caouette,1057
Clayton Jacobson,1058
Carlos Bolado,1059
Matti Grönberg,1060
Erick Zonca,1061
Joan Churchill,1062
Frederick de Cordova,1063
Jerry Lewis,1064
François Girard,1065
David Veloz,1066
Edwin L. Marin,1067
Jean Vigo,1068
Lynn Shelton,1069
Benny Chan,1070
Leslye Headland,1071
David Leland,1072
Byron Haskin,1073
Gareth Evans,1074
Jamie Blanks,1075
Michael Mayhew,1076
David Gelb,1077
Claude Berri,1078
Greg Mottola,1079
Walt Becker,1080
Dan Harris,1081
Paul Weiland,1082
Christopher Reeve,1083
Pat O'Connor,1084
Aleksandr Seryj,1085
Adam Mason,1086
Carma Hinton,1087
Guy Ritchie,1088
Seth Kramer,1089
William Castle,1090
Robert Siodmak,1091
Terry Jones,1092
Ali Taner Baltaci,1093
Ellen Hovde,1094
Geoffrey Wright,1095
Phil Morrison,1096
Jim Sonzero,1097
Jean Renoir,1098
Adam McKay,1099
Ray Müller,1100
David Hand,1101
Amma Asante,1102
Robert Stromberg,1103
George Pal,1104
Yin Li,1105
Dennie Gordon,1106
Scott Culver,1107
Mary Lambert,1108
Marek Kanievska,1109
Olivier Dahan,1110
Steven Knight,1111
Andrew Niccol,1112
Boris Sagal,1113
Robert Rossen,1114
James Moll,1115
Kantz,1116
Eli Craig,1117
David Jung,1118
Stéphane Giusti,1119
Charles Haid,1120
Dito Montiel,1121
"George Tillman, Jr.",1122
Georg Wilhelm Pabst,1123
Marcus Dunstan,1124
Jun Ichikawa,1125
David Zucker,1126
Max Fleischer,1127
John McTiernan,1128
Franklin J. Schaffner,1129
Yasuzô Masumura,1130
Brian Sloan,1131
Nanette Burstein,1132
John Herzfeld,1133
Michael Reeves,1134
