movieId,title,releaseDate,runtime,budget,genres,overview,tagline,popularity,revenue,director,cast,keywords
1,Toy Story (1995),1995-10-30,81,30000000,Adventure|Animation|Children|Comedy|Fantasy,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",,29.862981,373554033,John Lasseter,Tom Hanks|Tim Allen|Don Rickles|Jim Varney|Wallace Shawn,martial arts|jealousy|toy|boy|friendship|bullying|friends|rivalry|rescue|mission|walkie talkie|boy next door|new toy|neighborhood|toy comes to life|resourcefulness
2,Jumanji (1995),1995-12-15,104,65000000,Adventure|Children|Fantasy,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.",Roll the dice and unleash the excitement!,10.964257,262797249,Joe Johnston,Robin Williams|Jonathan Hyde|Kirsten Dunst|Bradley Pierce|Bonnie Hunt,giant insect|board game|disappearance|based on children's book|new home|recluse
3,Grumpier Old Men (1995),1995-12-22,101,0,Comedy|Romance,"A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.",Still Yelling. Still Fighting. Still Ready for Love.,6.75456,0,Howard Deutch,Walter Matthau|Jack Lemmon|Ann-Margret|Sophia Loren|Daryl Hannah,fishing|old man|best friend|duringcreditsstinger
4,Waiting to Exhale (1995),1995-12-22,127,16000000,Comedy|Drama|Romance,"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.",Friends are the people who let you be yourself... and never let you forget it.,2.88744,81452156,Forest Whitaker,Whitney Houston|Angela Bassett|Loretta Devine|Lela Rochon|Gregory Hines,based on novel|interracial relationship|single mother|divorce|chick flick
5,Father of the Bride Part II (1995),1995-02-10,106,0,Comedy,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife, Nina, is expecting too. He was planning on selling their home, but that's a plan that -- like George -- will have to change with the arrival of both a grandchild and a kid of his own.",Just When His World Is Back To Normal... He's In For The Surprise Of His Life!,9.286334,76578911,Charles Shyer,Steve Martin|Diane Keaton|Martin Short|Kimberly Williams-Paisley|George Newbern,parent child relationship|baby|midlife crisis|confidence|aging|daughter|pregnancy|contraception|gynecologist
6,Heat (1995),1995-12-15,170,60000000,Action|Crime|Thriller,"Obsessive master thief, Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective, Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.",A Los Angeles Crime Saga,11.622896,187436818,Michael Mann,Al Pacino|Robert De Niro|Val Kilmer|Jon Voight|Tom Sizemore,robbery|detective|obsession|chase|thief|honor|murder|suspense|heist|betrayal|gang|los angeles|cat and mouse|criminal mastermind|cult film|ex-con|heist movie|one last job|loner|bank job|neo-noir|crime epic
7,Sabrina (1995),1995-12-15,127,58000000,Comedy|Romance,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.",You are cordially invited to the most surprising merger of the year.,7.397638,0,Sydney Pollack,Harrison Ford|Julia Ormond|Greg Kinnear|Angie Dickinson|Nancy Marchand,paris|sibling relationship|chauffeur|long island|fusion|millionaire
8,Tom and Huck (1995),1995-12-22,97,0,Adventure|Children,"A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.",The Original Bad Boys.,3.222456,0,Peter Hewitt,Jonathan Taylor Thomas|Brad Renfro|Rachael Leigh Cook|Michael McShane|Amy Wright,
9,Sudden Death (1995),1995-10-27,106,35000000,Action,"International action superstar Jean Claude Van Damme teams with Powers Boothe in a Tension-packed, suspense thriller, set against the back-drop of a Stanley Cup game.Van Damme portrays a father whose daughter is suddenly taken during a championship hockey game. With the captors demanding a billion dollars by game's end, Van Damme frantically sets a plan in motion to rescue his daughter and abort an impending explosion before the final buzzer...",Terror goes into overtime.,6.106837,64350171,Peter Hyams,Jean-Claude Van Damme|Powers Boothe|Dorian Harewood|Raymond J. Barry|Ross Malinger,terrorist|hostage|explosive|vice president
10,GoldenEye (1995),1995-11-16,130,58000000,Action|Adventure|Thriller,James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.,No limits. No fears. No substitutes.,22.864403,352194034,Martin Campbell,Pierce Brosnan|Sean Bean|Izabella Scorupco|Famke Janssen|Joe Don Baker,cuba|falsely accused|secret identity|computer virus|secret base|secret intelligence service|kgb|satellite|special car|cossack|electromagnetic pulse|time bomb|st. petersburg russia|red army
11,"American President, The (1995)",1995-11-17,106,62000000,Comedy|Drama|Romance,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.",Why can't the most powerful man in the world have the one thing he wants most?,7.27125,107879496,Rob Reiner,Michael Douglas|Annette Bening|Michael J. Fox|Martin Sheen|Anna Deavere Smith,white house|usa president|new love|widower|wildlife conservation
12,Dracula: Dead and Loving It (1995),1995-12-22,88,0,Comedy|Horror,"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Dr. van Helsing, who may be the only one able to vanquish the count.",,6.758243,0,Mel Brooks,Leslie Nielsen|Mel Brooks|Amy Yasbeck|Peter MacNicol|Lysette Anthony,dracula|spoof
13,Balto (1995),1995-12-22,78,0,Adventure|Animation|Children,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",Part Dog. Part Wolf. All Hero.,8.534071,11348324,Simon Wells,Kevin Bacon|Bob Hoskins|Bridget Fonda|Jim Cummings|Phil Collins,wolf|pet|dog-sledding race|alaska|dog|goose|bear attack|dog sled|frozen lake
14,Nixon (1995),1995-12-22,192,44000000,Drama,"An all-star cast powers this epic look at American President Richard M. Nixon, a man carrying the fate of the world on his shoulders while battling the self-destructive demands within. Spanning his troubled boyhood in California to the shocking Watergate scandal that would end his presidency.","Triumphant in Victory, Bitter in Defeat. He Changed the World, But Lost a Nation.",4.8336,13681765,Oliver Stone,Anthony Hopkins|Joan Allen|Powers Boothe|Ed Harris|Bob Hoskins,usa president|presidential election|watergate scandal|biography|government|historical figure
